trix,wma,shift,ts_atr,cagr,alpha,max_dd,n_trades,win_rate
4,45,10,3.0,0.5743876731569955,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068
4,45,4,2.5,0.4987457740737802,0.2358429294084483,-0.5482656994222875,143,0.5874125874125874
4,25,4,4.0,0.472830393693578,0.2099275490282461,-0.5335791482135396,91,0.6043956043956044
4,10,6,2.0,0.3736140103263605,0.1107111656610286,-0.5399508378910214,169,0.5266272189349113
6,20,6,4.0,0.3369590459191482,0.0740562012538164,-0.5340132895499675,77,0.5844155844155844
