trix,wma,shift,ts_atr,cagr,alpha,max_dd,n_trades,win_rate
10,45,8,0.0,0.2752519651914402,0.0123491205261083,-0.4587878054673054,46,0.4347826086956521
4,10,6,2.0,0.2051828563203221,-0.0577199883450096,-0.3642555860022593,150,0.4533333333333333
12,25,2,0.0,0.2000373122801904,-0.0628655323851414,-0.5192633770786371,41,0.4146341463414634
8,35,4,0.0,0.1904340902825627,-0.0724687543827691,-0.5045764878232641,63,0.3968253968253968
14,40,6,0.0,0.1758890292849557,-0.0870138153803761,-0.4487865706601936,31,0.4838709677419355
