trix,wma,shift,ts_atr,sl_atr,cagr,alpha,max_dd,n_trades,win_rate
4,10,6,2.0,2.0,0.2005499402823516,-0.0623529043829802,-0.3547730937079756,113,0.4690265486725664
4,10,8,2.0,2.0,0.1915353824430017,-0.0713674622223301,-0.4274246051326421,98,0.4693877551020408
4,10,8,2.5,2.0,0.1888120367679615,-0.0740908078973703,-0.4576560496713655,98,0.4489795918367347
4,10,6,2.5,2.0,0.1808782019035371,-0.0820246427617947,-0.3875720179069076,113,0.4513274336283185
4,10,8,3.0,2.0,0.1704639614995056,-0.0924388831658262,-0.4029871745938393,98,0.4489795918367347
