profile,trix,wma,shift,ts_atr,sl_atr,cagr,bh_cagr,alpha,max_dd,n_trades,win_rate,sharpe
growth,4,45,10,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,25,4,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,25,6,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,30,4,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,25,8,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,30,2,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,15,4,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,25,10,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,45,2,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,15,2,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,10,4,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,10,6,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,10,2,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,40,10,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,10,8,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,45,4,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,10,10,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,45,8,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,40,8,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
growth,4,30,6,3.0,0.0,0.5743876731569955,0.2629028446653318,0.3114848284916636,-0.5039429046200039,117,0.6068376068376068,1.7927250339430825
